from,amount,timestamp,quotecurrency,mid
USD,1000.0,2018-08-04T00:00:00Z,AOA,259109.0672918
USD,1000.0,2018-08-04T00:00:00Z,PLN,3679.6595816898
USD,1000.0,2018-08-04T00:00:00Z,SBD,7873.8388359
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,MWK,725569.5026938999
USD,1000.0,2018-08-04T00:00:00Z,MGA,3275402.2982656
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,EUR,863.55078248
USD,1000.0,2018-08-04T00:00:00Z,MGA,3275402.2982656
USD,1000.0,2018-08-04T00:00:00Z,BAM,1688.9585268979
USD,1000.0,2018-08-04T00:00:00Z,EGP,17860.5824568
USD,1000.0,2018-08-04T00:00:00Z,NIO,31726.6564605
USD,1000.0,2018-08-04T00:00:00Z,NZD,1482.3948071331
USD,1000.0,2018-08-04T00:00:00Z,BRL,3707.2536078
