0,1,2,3,4,5,6,7,8,9,,
International Bank Transfer in US Dollars (USD),"$7,879.00",Bolivia,yyy,USD,USD,7879,10000,0,-2121,7751.937984,0.016391
VISA: Debit/Credit in USD,"$8,114.00",Bolivia,yyy,USD,USD,8114,10000,0,-1886,7751.937984,0.046706
MasterCard: Debit/Credit in USD,"$8,114.00",Bolivia,yyy,USD,USD,8114,10000,0,-1886,7751.937984,0.046706
VISA: Debit/Credit in BAM,"13,579.00 KM",Bosnia and Herzegovina,yyy,USD,BAM,13579,"16,653.23",-0.184602627,0,12909.48062,0.051862612
MasterCard: Debit/Credit in BAM,"13,579.00 KM",Bosnia and Herzegovina,yyy,USD,BAM,13579,"16,653.23",-0.184602627,0,12909.48062,0.051862612
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Bosnia and Herzegovina,yyy,USD,CAD,10000,"12,917.81",-0.225874974,0,10013.8062,-0.001378717
International Bank Transfer in US Dollars (USD),"$7,880.00",Bosnia and Herzegovina,yyy,USD,USD,7880,10000,0,-2120,7751.937984,0.01652
VISA: Debit/Credit in BWP,"P86,800.00",Botswana,yyy,USD,BWP,86800,"1,06,343.91",-0.183780247,0,82437.13953,0.052923482
Mastercard: Debit/Credit in BWP,"P86,800.00",Botswana,yyy,USD,BWP,86800,"1,06,343.91",-0.183780247,0,82437.13953,0.052923482
International Bank Transfer in Canadian Dollars (CAD),"$10,000.00",Botswana,yyy,USD,CAD,10000,"12,920.00",-0.226006192,0,10015.50388,-0.001547988
International Bank Transfer in US Dollars (USD),"$7,880.00",Botswana,yyy,USD,USD,7880,10000,0,-2120,7751.937984,0.01652
International Bank Transfer in South African Rand (ZAR),"R114,193.00",Botswana,yyy,USD,ZAR,114193,"1,43,310.07",-0.203175325,0,111093.0775,0.027903831
International Bank Transfer in British Pounds (GBP),"£6,090.00",Botswana,yyy,USD,GBP,6090,"7,653.77",-0.204313691,0,5933.155039,0.026435338
Cartão de Crédito/Débito em Reais,"R$35.404,00",Brazil,yyy,USD,BRL,35404,"40,518.59",-0.126228233,0,31409.75969,0.12716558
Boleto,"R$34.814,00",Brazil,yyy,USD,BRL,34814,"40,518.59",-0.14078945,0,31409.75969,0.10838161
