0,1,2,3,4,5,6,7,8,9,,
International Bank Transfer in Euros (EUR),"11.522,00 €",Angola,Durham University,GBP,EUR,11522,"11,202.47",0.028523174,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Angola,Durham University,GBP,GBP,10000,10000,0,0,,
VISA: Debit/Credit in USD,"$13,747.00",Angola,Durham University,GBP,USD,13747,"13,111.45",0.0484729,0,,
MasterCard: Debit/Credit in USD,"$13,747.00",Angola,Durham University,GBP,USD,13747,"13,111.45",0.0484729,0,,
American Express in USD,"$13,486.00",Angola,Durham University,GBP,USD,13486,"13,111.45",0.028566635,0,,
VISA: Debit/Credit in ARS,"$532.082,00",Argentina,Durham University,GBP,ARS,532082,"5,05,053.60",0.053515904,0,,
MasterCard: Debit/Credit in ARS,"$532.082,00",Argentina,Durham University,GBP,ARS,532082,"5,05,053.60",0.053515904,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Argentina,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,349.00",Argentina,Durham University,GBP,USD,13349,"13,111.45",0.018117752,0,,
VISA: Debit/Credit in USD,"$13,748.00",Argentina,Durham University,GBP,USD,13748,"13,111.45",0.048549169,0,,
MasterCard: Debit/Credit in USD,"$13,748.00",Argentina,Durham University,GBP,USD,13748,"13,111.45",0.048549169,0,,
Domestic Bank Transfer in AUD (EFT),"A$18,629.00",Australia,Durham University,GBP,AUD,18629,"18,142.61",0.026809263,0,,
American Express in AUD,"A$18,665.00",Australia,Durham University,GBP,AUD,18665,"18,142.61",0.028793542,0,,
VISA: Debit/Credit in AUD,"A$19,018.00",Australia,Durham University,GBP,AUD,19018,"18,142.61",0.0482505,0,,
MasterCard: Debit/Credit in AUD,"A$19,018.00",Australia,Durham University,GBP,AUD,19018,"18,142.61",0.0482505,0,,
International Bank Transfer in British Pounds (GBP),"£10,023.00",Australia,Durham University,GBP,GBP,10023,10000,0,23,,
Domestic Bank Transfer in New Zealand Dollar (NZD),"$20,138.00",Australia,Durham University,GBP,NZD,20138,"19,750.00",0.01964557,0,,
International Bank Transfer in US Dollars (USD),"$13,347.00",Australia,Durham University,GBP,USD,13347,"13,111.45",0.017965214,0,,
Domestic Bank Transfer in Euros (EUR),"11.522,00 €",Austria,Durham University,GBP,EUR,11522,"11,202.47",0.028523174,0,,
VISA: Debit/Credit in EUR,"11.633,00 €",Austria,Durham University,GBP,EUR,11633,"11,202.47",0.038431703,0,,
MasterCard: Debit/Credit in EUR,"11.633,00 €",Austria,Durham University,GBP,EUR,11633,"11,202.47",0.038431703,0,,
American Express in EUR,"11.633,00 €",Austria,Durham University,GBP,EUR,11633,"11,202.47",0.038431703,0,,
PayPal in EUR,"11.745,00 €",Austria,Durham University,GBP,EUR,11745,"11,202.47",0.048429498,0,,
Online Bank Transfer,"11.522,00 €",Austria,Durham University,GBP,EUR,11522,"11,202.47",0.028523174,0,,
International Bank Transfer in British Pounds (GBP),"£10,023.00",Austria,Durham University,GBP,GBP,10023,10000,0,23,,
International Bank Transfer in US Dollars (USD),"$13,350.00",Austria,Durham University,GBP,USD,13350,"13,111.45",0.018194021,0,,
MasterCard: Debit/Credit in AZN,"ман23,450.00",Azerbaijan,Durham University,GBP,AZN,23450,"22,253.21",0.053780556,0,,
VISA: Debit/Credit in AZN,"ман23,450.00",Azerbaijan,Durham University,GBP,AZN,23450,"22,253.21",0.053780556,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Azerbaijan,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,349.00",Azerbaijan,Durham University,GBP,USD,13349,"13,111.45",0.018117752,0,,
MasterCard: Debit/Credit in BSD,"$13,818.00",Bahamas,Durham University,GBP,BSD,13818,"13,115.05",0.053598728,0,,
VISA: Debit/Credit in BSD,"$13,818.00",Bahamas,Durham University,GBP,BSD,13818,"13,115.05",0.053598728,0,,
International Bank Transfer in US Dollars (USD),"$13,352.00",Bahamas,Durham University,GBP,USD,13352,"13,111.45",0.01834656,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Bahamas,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in Canadian Dollars (CAD),"$17,450.00",Bahamas,Durham University,GBP,CAD,17450,"17,117.99",0.019395385,0,,
MasterCard: Debit/Credit in BHD,"ب.د5,197.000",Bahrain,Durham University,GBP,BHD,5197,"4,931.68",0.053799111,0,,
