MasterCard: Debit/Credit in CAD,"$13,775.00",Canada,Northern Illinois University receives
American Express in CAD,"$13,775.00",Canada,Northern Illinois University receives
PayPal in CAD,"$13,689.00",Canada,Northern Illinois University receives
Online Bill Pay,"$13,478.00",Canada,Northern Illinois University receives
,,Canada,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cape Verde,Northern Illinois University receives
Visa: Debit/Credit in KYD,"CI$8,641.00",Cayman Islands,Northern Illinois University receives
Mastercard: Debit/Credit in KYD,"CI$8,641.00",Cayman Islands,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cayman Islands,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Central African Republic,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Chad,Northern Illinois University receives
MasterCard: Debit/Credit in GBP,"£7,862.00",British Indian Ocean Territory,Northern Illinois University receives
VISA: Debit/Credit in GBP,"£7,862.00",British Indian Ocean Territory,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",British Indian Ocean Territory,Northern Illinois University receives
VISA: Debit/Credit in CLP,$6.890.000,Chile,Northern Illinois University receives
MasterCard: Debit/Credit in CLP,$6.890.000,Chile,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Chile,Northern Illinois University receives
?????????? Domestic RMB Transfer ????????????,"CNY67,287.00",China,Northern Illinois University receives
??? - (Alipay.com),"CNY67,287.00",China,Northern Illinois University receives
??? – (UnionPay),"CNY67,287.00",China,Northern Illinois University receives
???? eBanking ????????????,"CNY67,624.00",China,Northern Illinois University receives
MasterCard in RMB,"CNY69,836.00",China,Northern Illinois University receives
VISA in RMB,"CNY69,836.00",China,Northern Illinois University receives
,,China,Northern Illinois University receives
MasterCard: Debit/Credit in AUD,"A$14,157.00",Christmas Island,Northern Illinois University receives
VISA: Debit/Credit in AUD,"A$14,157.00",Christmas Island,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Christmas Island,Northern Illinois University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,069.00",Christmas Island,Northern Illinois University receives
MasterCard: Debit/Credit in AUD,"A$14,157.00",Cocos (Keeling) Islands,Northern Illinois University receives
VISA: Debit/Credit in AUD,"A$14,157.00",Cocos (Keeling) Islands,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Cocos (Keeling) Islands,Northern Illinois University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,069.00",Cocos (Keeling) Islands,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Colombia,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Comoros,Northern Illinois University receives
International Bank Transfer in South African Rand (ZAR),"R141,343.00",Comoros,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Congo,Northern Illinois University receives
International Bank Transfer in South African Rand (ZAR),"R141,343.00",Congo,Northern Illinois University receives
VISA: Debit/Credit in XAF,"5,912,800.00 Fr",Congo,Northern Illinois University receives
MasterCard: Debit/Credit in XAF,"5,912,800.00 Fr",Congo,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00","Congo, the Democratic Republic of the",Northern Illinois University receives
International Bank Transfer in South African Rand (ZAR),"R141,343.00","Congo, the Democratic Republic of the",Northern Illinois University receives
MasterCard: Debit/Credit in NZD,"$15,491.00",Cook Islands,Northern Illinois University receives
VISA: Debit/Credit in NZD,"$15,491.00",Cook Islands,Northern Illinois University receives
International Bank Transfer in New Zealand Dollar (NZD),"$15,069.00",Cook Islands,Northern Illinois University receives
,,Cook Islands,Northern Illinois University receives
VISA: Debit/Credit in CRC,"?6.068.000,00",Costa Rica,Northern Illinois University receives
MasterCard: Debit/Credit in CRC,"?6.068.000,00",Costa Rica,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Costa Rica,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Côte d'Ivoire,Northern Illinois University receives
Bank Transfer in Croatian Kuna (HRK),"kn65.401,00",Croatia,Northern Illinois University receives
VISA,"kn66.675,00",Croatia,Northern Illinois University receives
MasterCard,"kn66.675,00",Croatia,Northern Illinois University receives
Online Bank Transfer,"kn65.401,00",Croatia,Northern Illinois University receives
,,Croatia,Northern Illinois University receives
,,Croatia,Northern Illinois University receives
,,Croatia,Northern Illinois University receives
,,Croatia,Northern Illinois University receives
VISA: Debit/Credit in ANG,"19,231.00 NAƒ",Curaçao,Northern Illinois University receives
MasterCard: Debit/Credit in ANG,"19,231.00 NAƒ",Curaçao,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Curaçao,Northern Illinois University receives
Domestic Bank Transfer in Euros (EUR),"8.797,00 €",Cyprus,Northern Illinois University receives
VISA: Debit/Credit in EUR,"8.882,00 €",Cyprus,Northern Illinois University receives
MasterCard: Debit/Credit in EUR,"8.882,00 €",Cyprus,Northern Illinois University receives
American Express in EUR,"8.882,00 €",Cyprus,Northern Illinois University receives
PayPal in EUR,"8.967,00 €",Cyprus,Northern Illinois University receives
Online Bank Transfer,"8.797,00 €",Cyprus,Northern Illinois University receives
,,Cyprus,Northern Illinois University receives
Bank Transfer from a Czech Koruna (CZK) Account,"K?229.155,00",Czech Republic,Northern Illinois University receives
VISA: Debit/Credit in CZK,"K?234.225,00",Czech Republic,Northern Illinois University receives
MasterCard: Debit/Credit in CZK,"K?234.225,00",Czech Republic,Northern Illinois University receives
Online Bank Transfer,"K?229.155,00",Czech Republic,Northern Illinois University receives
,,Czech Republic,Northern Illinois University receives
,,Czech Republic,Northern Illinois University receives
,,Czech Republic,Northern Illinois University receives
,,Czech Republic,Northern Illinois University receives
Domestic Bank Transfer in Danish Krone (DKK),"65.571,00 kr",Denmark,Northern Illinois University receives
VISA: Debit/Credit in DKK,"66.204,00 kr",Denmark,Northern Illinois University receives
MasterCard: Debit/Credit in DKK,"66.204,00 kr",Denmark,Northern Illinois University receives
Online Bank Transfer,"65.571,00 kr",Denmark,Northern Illinois University receives
,,Denmark,Northern Illinois University receives
,,Denmark,Northern Illinois University receives
VISA: Debit/Credit in DJF,"1,874,700.00 Fdj",Djibouti,Northern Illinois University receives
MasterCard: Debit/Credit in DJF,"1,874,700.00 Fdj",Djibouti,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Djibouti,Northern Illinois University receives
International Bank Transfer in US Dollars (USD),"$10,000.00",Dominica,Northern Illinois University receives
